word,translation,tag
of malice,出于恶意,
accept of,v. 承兑,
sing of,歌颂,
none of,千万别…,
dream of,"梦见,梦想,向往,渴望",
hear of,听说,
smell of,有...的气味,
establishment of,"开证, 开立信用状",
of reputation,"着名的,享有盛名的,遐迩闻名的",
of itself,"自动地,自行地,自然而然地",
waves of,潮水般的,
scent of,"发出...的气味, 有...的迹象",
become of,"发生, 结果是",
treat of,"论及, 涉及",
upward of,"多于, 超过",
of kin,近亲的,
lack of,缺乏,
of publication,停止发行,
talking of,谈到,
west of,在...以西,
shy of,尚缺,
bits of,少量的;小块小片的,
stink of,发恶臭,
quantities of,"大量的,许多…",
anything of,一点儿,
purge of,"清除, 清洗",
suspect of,怀疑,
lots of,"许多的..., 大量的...",
tired of,厌烦,
learn of,"听说..., 获悉...",
of repute,"大名鼎鼎的,着名的,享有盛名的,遐迩闻名的",
smack of,"有…的味道,有点像…",
remain of,由…遗留下来,
scores of,大量的,
allow of,容许,
thousands of,"成千上万,数千,许许多多",
patient of,"能忍受的, 容许...意义的",
admit of,"承认,坦白",
plenty of,许多的,
fond of,喜爱,
neither of,没有一个,
inclusive of,"把…包括在内, 包含",
despair of,对…感到绝望,
rid of,"除去, 摆脱",
of vantage,"有利的,佔优势的",
proud of,为…而感到骄傲,
worthy of,值得…的,
alongside of,"在旁边, 与...并肩",
mountains of,"大堆大堆的,大量的…",
of sorts,各种各样的,
of avail,"有用,有效,有帮助",
inform of,将…告知（某人）,
avail of,v. 利用,
relieve of,"解除, 消除",
possess of,"v. 佔有,拥有",
masses of,"大量的,众多的",
perish of,因…而死,
heard of,听说,
traces of,"微量的…,…的痕蹟",
astern of,在…后面,
warn of,"警告…,有…危险",
shades of,令人想起…的；影片名称,
weary of,厌烦,
approve of,"赞成,批准…",
accuse of,指责，控告,
rob of,抢劫,
demonstrative of,"证明的, 论证的, 令人信服的",
consist of,由...组成,
capable of,有…能力（或技能）的，能…的,
afoul of,"碰撞, 同某物撞在一起；和某人发生冲突",
reek of,发臭气,
require of,对…的要求,
afraid of,害怕,
upwards of,"...以上, 多于...",
barren of,a. 没有…的,
complain of,"抱怨, 抗议",
bereave of,v. 使丧失,
sicken of,"厌恶, 厌倦",
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决",
aware of,意识到，知道,
millions of,"成千上万的..., 无数的...",
beware of,"谨访,当心",
tens of hundreds of,"数千的,成百上千",
irrespective of,"不顾,不论,不分,不考虑",
acres of,"大量,许多",
heaps of,"大堆大堆的,大量的,许多…",
participate of,"带有, 含有",
convince of,使（某人）认识到， 相信…,
dozens of,"几十个,数十个;许多…",
composed of,由…组成,
hundreds of,"几百..., 许许多多...",
loads of,"大量, 许多",
brag of,"夸耀,吹嘘",
bags of,"大量的,充足的",
of yore,"从前, 往昔",
partake of,"吃, 喝, 带有",
deprive of,剥夺,
apropos of,"关于, 至于",
of corse,当然,
pall of,v. 厌倦,
scraps of,"一点点,零零碎碎的…",
despite of,不管， 尽管， 任凭,
hosts of,"许多,大群大群的…",
deplete of,"弄空, 耗尽",
devoid of,aaj.缺乏的。没有的,
oceans of,"大量的,许多的…",
oust of,剥夺,
disarm of,缴械,
regardless of,"不注意, 不关心",
independently of,独立于...之外,
stretches of,"大片的,绵延不断的",
remind of,"提醒, 使记起",
boast of,吹嘘;引以自豪地拥有,
because of,因为,
subfolder of,子文件夹,
unworthy of,不值得,
repent of,后悔,
instead of,代替,
disapprove of,"不赞成,不同意",
undreamt of,adj. 梦想不到的,
inshore of,比...靠近海岸,
flappong of,波动,
unheard of,a. 没发生过的; 令人震惊的；前所未有的,
undreamed of,"a. 梦想不到的, 意外的",
connotative of,内涵,
bethink of,v. 想到,
somewhat of,"有些,相当",
stacks of,"一大堆,许多,大量",
conceive of,想象,
out of the pale of,超出…界限,
of the time,"当时的, 当代的",
object of the of ownership,所有权客体,
the number of,…的数目,
a line of,"一行,一列,一排",
of the surface,"表面上, 外表上",
of the day,当时的,
the sort of,那种,
the bulk of,"大半,大多数,大部分",
of the moment,此刻,
the rest of,"其余的,剩下的",
a type of,"一种,一类",
a power of,"极大的,很多",
the pick of,"精华, 最好的部分",
the majority of,大多数...,
of the rank,头等的,
a set of,"一组,一套,一副,一批,一连串",
of the essence,"绝对需要的, 不可缺少的, 极重要的",
a number of,许多的,
the likes of,<口>像…这样的人,
a stock of,"储存的,一批",
a group of,"一组,一队,一群,一伙,一批…",
a load of,"大量, 许多",
a wave of,"蜂拥而至的,拥挤的一批",
a bank of,"一堆,一层…",
a sheet of,"一片,一块,一张,一层",
of a day,短命的,
a period of,阵子,
a band of,"一群,一伙,一队…",
a bar of,"一条,一块…",
a mass of,"一块,一团,大量的",
a total of,"总计为,总共…",
a sequence of,"一个…的序列,一系列…",
a range of,一系列; 一些; 一套,
a bit of,一点,
a layer of,一层…,
a fund of,"丰富的,大量的,富于…",
a drop of,一滴…,
a maximum of,"至多,最多",
a minimum of,"至少,最少,最起码",
a series of,"一系列..., 一批...",
a spot of,a. 少量的,
a length of,一段,
of a size,"同样尺码的,一样大小的",
a part of,部分,
a string of,n. 一串的，一系列，一批; 一连串,
a roll of,一卷,
in control of,控制住,
a world of,"很多,大量",
a game of,"一场,一盘,一局",
of a night,经常在晚上,
a queue of,"一队,一行,一长列…",
of a sort,"同一类的, 较差的",
a sort of,"一种,某种,勉强称得上的…",
a quantity of,"一些,若干",
a collection of,"一批,一组",
a packet of,"一盒…,一捆…,一包…",
a strip of,"一条,狭长的一块",
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约",
a measure of,一定程度的,
a piece of,"一块..., 一片...",
of a piece,"一致的, 与...同类的",
a battery of,"一连串的,一系列的…",
a amount of,大量的,
a strain of,"一点点,有点,些许…",
a package of,一包…,
a suit of,"一套,一副",
a mountain of,"山一样的一大堆,大量的…",
a particle of,"一点点,少量的…",
a cup of,一杯…,
a train of,一连串,
a pair of,"一对..., 一付...",
a grain of,"一粒…,一颗…",
a cake of,一块…,
a host of,"许多,一大群",
a pack of,"一盒,一包;一伙…,一群…",
a stream of,一连串的...,
a coat of,一层,
a row of,"一排,一行",
of a mind,"一条心,一心一意,同心协力",
a dose of,"一剂,一服",
a ray of,"一线…,一丝…,少量…",
a blade of,一片,
a spark of,"一点儿,丝毫",
a barrel of,"一桶,许多,大量",
a storm of,"暴风雨般的,勐烈的一阵",
a lot of,许多的,
a patch of,"一块,一片",
a majority of,"大部分,大多数",
a score of,"二十,几十,许多…",
a fraction of,一小部分的,
a quarter of,四分之一的,
a slice of,"一片,一小块,一部分",
a blanket of,厚厚的一层…,
a cluster of,"一簇,一丛,一群",
a choice of,各种各样可供选择的…,
a plot of,一块,
a succession of,"一系列,一连串,接连不断的",
of a truth,"事实上, 的确",
a gang of,"一伙,一帮,一群",
of a kind,"同一类的, 蹩脚的",
a kind of,"一种,一类",
a devil of,"极端的,可观的,大量的…",
a team of,"一队,一组…",
a pile of,"一堆,一垛…",
of a morning,往往在早上,
a hell of,"极度的,糟透了的,好极了的…",
something of a,"有…的味道,有点像…",
a species of,"一种,一类",
a crop of,"一批,一群,一大堆",
a streak of,"一道,一条,一系列,一点点,些许…",
a surge of,"汹涌澎湃的,高涨的",
a wealth of,"丰富的,大量的…",
a heap of,"一大堆,许多…",
a colony of,一群,
a span of,一段…,
a couple of,"一对..., 三两个...",
a pinch of,"一小撮…,微量的…",
a portion of,"一部分的…;一份,一客",
a rainbow of,"各种各样的..., 五颜六色的...",
a shade of,"些许,少许的…",
a few of,"少数, 几个,一些",
of a sudden,突然,
a decade of,"十个,十条,十件…",
a flood of,"一大片,一大批",
a crowd of,一群,
a nest of,"一窝…,一套…",
a lack of,缺乏，缺少,
a variety of,"各种各样的..., 种种...",
a herd of,一群,
a troop of,"一群,许多",
a flock of,一群,
a muster of,"一群…,一批…,一大堆…",
a plenty of,大量；许多,
a swarm of,"一大群,蜂拥而至的",
a mug of,一大杯…,
of a surety,"的确, 肯定地",
a dab of,"一点,些许,少量",
a conglomerate of,"一团,一群,一伙",
a bunch of,"一束,一串,一群",
a barrage of,"接二连三的,连珠砲似的…",
a peck of,"很多,大量的",
a bouquet of,一束,
a hint of,"一点…,一丝…",
a galaxy of,一群,
a pail of,一桶…,
a multitude of,"大批的,大量的,许许多多的…",
a profusion of,"很多,大量",
a battalion of,一大队,
a handful of,"一小撮,少数",
in time of,在…时候,
in order of,按...的次序,
of and on,"偶而,有时",
in point of,"关于, 就...而言",
in the control of,"由...控制, 由...管理, 由...负责",
in right of,凭...权力,
in memory of,纪念...,
in light of,"按照, 根据",
control of source of supply,供给来源的控制(管理),
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下",
statement of cost of production,生产成本表,
in case of,"假设, 万一",
chloride of acid,酰基氯; 氯化酰基,
method of loss of weight,失重法,
in payment of,偿付,
in bar of,为禁止...,
in the process of,在...的过程中,
in sequence of,按照…顺序,
in search of,寻找,
in sign of,作为...的表示,
in support of,"支持, 支援",
in face of,"面对,在…面前;不顾,即使",
in term of,"用…的话,以…的措词;根据,按照;用…的思想方法;在…方面,以…方面",
a bit of a,有点…的味道,
control of guns of ammunitions,枪枝弹药管制,
in place of,代替\n 代替,
in the order of,"大约, 约等于\n 按...次序",
in recognition of,为酬谢,
ratio of cost of sales,销售成本的比率,
in terms of,"用...的话, 根据, 按照, 在...方面\n 用...话, 以...措词, 按照",
in advance of,"在...前面, 超过",
in care of,由…转交,
in witness of,作为...的证据\n 为...的证据,
in view of,"考虑到, 由于\n 鉴于",
in course of,正在...中,
in sight of,在见得到...的地方,
in receipt of,已收到…,
law of conservation of charge,电荷守恒定律,
in settlement of,"以澄清,为解决…",
in front of,在...前面,
in excess of,"超过, 较...为多",
rate of occurrence of error,误差出现率,
in default of,"因缺少\n 因缺..., 在缺少...时",
in defect of,缺少,
in aid of,"为援助,以援救…",
in replacement of,以代替…,
in defence of,为保卫…;为…辩护,
in possession of,"获得,弄到,佔有,佔领…",
order of reference of accounts,审查帐目令,
law of conservation of energy,能量守恒定律; 能量守恒与转化定律,
in tie of,"支持,拥护",
in defense of,"为...辩护, 为保证...",
index of cost of living,生活费指数,
in breach of,"违反…,破坏…",
in token of,"作为...的标志, 作为...的象征",
in consideration of,"考虑到\n 鉴于, 考虑到",
law of conservation of mass,质量守恒定律,
in danger of,有…的危险,
in fraud of,"为诈骗\n 为了欺骗, 为了诈欺",
in occupation of,"佔领…,佔据着…",
in want of,"需要,缺少",
in honor of,"为向…表示敬意,为庆祝…为纪念…",
law of persistance of energy,能量持久律,
in honour of,"为纪念, 为庆祝",
in restraint of,"限制,抑制,拘禁…",
in need of,"需要...时, 如果需要...",
in doubt of,对…表示怀疑,
in satisfaction of,作为...的赔偿,
in regard of,"关于..., 至于...",
in absence of,在…不在时;在缺乏…时,
in respect of,"关于, 就...而言",
in fear of,"害怕,担心,为…提心吊胆",
in praise of,为赞扬,
in favor of,"赞同, 有利于",
reconciliation of statement of account,帐户调节表,
in favour of,"同意, 支持, 有利于...",
test of goodness of fit,适合性测定; 拟合优度检验,
in acknowledgement of,"答谢,领谢…",
in arrears of,"赶不上,落后于,不及…",
in contempt of,"蔑视,不顾",
in violation of,违反,
in terror of,"对…胆战心惊,十分害怕…",
in expectation of,"期待,盼望…",
in virtue of,"依靠...(的力量), 凭借, 由于, 因为",
in chase of,"追赶,追击…",
in pity of,因为可怜...,
in consequence of,"由于的...缘故\n 由于...缘故, 基于",
in prejudice of,"有损于,不利于…",
in anticipation of,"一想到,预料到,期待着…;抢在…之前",
in excuse of,作为辩解\n 作为...辩解,
in prospect of,"有…希望,…在望",
of interest to,"对…至关重大,引起…的关注",
in peril of,有…的危险,
in remembrance of,"纪念..., 回忆...",
in defiance of,"无视, 不顾",
in advocacy of,"为…作辩护,鼓吹…",
in spite of,不管,
in pursuit of,追求，寻求,
in ridicule of,嘲笑…,
in lieu of,"作为...的替代, 代替...\n 代替, 作为...的替代",
in disregard of,"不顾,不尊重,忽视,漠视",
in dedication of,"为了…,作为对…的奉献",
in quest of,为了追求...,
in behalf of,"代表,为了…",
in awe of,恐惧\n敬畏,
in contravention of,违反...,
in celebration of,为庆祝...,
in dread of,畏惧…,
in corroboration of,为了证明...,
in hopes of,"怀着...的希望, 希望能...",
in despite of,"不管, 尽管",
in furtherance of,为促进...,
in stead of,代替,
in pursuance of,"执行, 履行, 根据",
in commemoration of,纪念,
in virture of,由于,
strength of acid,酸的强度,
law of elasticity of demand,弹性需求法则,
law of conservation of matter,物质守恒定律; 质量不灭定律,
rules of choice of law,关于选择法律的规则,
law of perdurability of matter,物质守恒定律,
acceptance of bill of exchange,汇票的承兑,
law of conservation of momentum,动量守恒定律,
doctrine of superemacy of law,法律至上原则,
in the language of,"用…语言,用…的话来说",
heat of change of phase,相转变热,
to be the parent of,育有,cedict
the will of the people,人心,cedict
to be in the way,当道,cedict
the end of the year,年底,cedict
to be in the wrong,输理,cedict
to be in the sun,晒太阳,cedict
the morals of the time,世道,cedict
to be in the army,从戎,cedict
to be in the majority,居多,cedict
to be in the milk,灌浆,cedict
to be in the limelight,出风头,cedict
the back of the head,脑后,cedict
the way of the king,王道,cedict
the end of the show,落幕,cedict
the enemy of the people,人民公敌,cedict
the mood of the people,民情,cedict
the man  of the moment,风云人物,cedict
the head of the house,太爷,cedict
the way of the hegemon,霸王之道,cedict
the still of the night,夜阑人静,cedict
the lady of the house,主妇,cedict
the world of the dead,那世,cedict
the roof of the world,世界屋脊,cedict
the law of the land,王法,cedict
the talk of the town,满城风雨,cedict
the hypocrisy of the world,世态炎凉,cedict
the creation of the world,创世,cedict
the ways of the world,世情,cedict
the world of the living,人世,cedict
the middle of the month,月中,cedict
the middle of the night,大半夜,cedict
the top of the page,页首,cedict
the nature of the offense,罪状,cedict
the law of the jungle,丛林法则,cedict
the facts of the matter,三七二十一,cedict
the bottom of the page,页底,cedict
the sole of the foot,脚掌,cedict
the extremity of the foot,脚尖,cedict
the surface of the river,江面,cedict
the scene of the incident,事发地点,cedict
the contents of the cup,杯中物,cedict
the wing of the nose,鼻翼,cedict
the tip of the nose,准头,cedict
the ends of the earth,地角天涯,cedict
the mysteries of the universe,玄奥,cedict
the tip of the iceberg,老鼠拖木锨，大头在后头,cedict
the gift of the gab,口齿伶俐,cedict
the passage of the years,岁月如流,cedict
the halo of the moon,月阑,cedict
the wars of the roses,玫瑰战争,cedict
the bulb of the fritillary,贝母,cedict
the looks of the deceased,遗容,cedict
the laws of the buddhism,迦持,cedict
the views of the departed,遗教,cedict
the first and the last,空前绝后,cedict
the great and the good,贤人,cedict
the old and the young,老小,cedict
the good and the bad,玉石,cedict
the police and the community,警民,cedict
the military and the police,军警,cedict
the sound and the fury,喧哗与骚动,cedict
the outside and the inside,表里,cedict
the fundamental and the incidental,本末,cedict
the sick and the wounded,伤病员,cedict
the moon and the stars,星月,cedict
the prosecution and the defense,控辩,cedict
the whys and the wherefores,根由,cedict
to be considered to be,即为,cedict
to be defined to be,即为,cedict
to be suspected to be,疑似,cedict
to be on the go,奔走,cedict
to be on the move,流转,cedict
the world in the large,宏观世界,cedict
the person in the street,普通人,cedict
to be on the alert,留心眼儿,cedict
to be on the lookout,把风,cedict
the elephant in the room,房间里的大象,cedict
be out of the question,不行,cedict
the airway in the throat,喉管,cedict
to be at the scene,临场,cedict
to be over the moon,心花怒放,cedict
to be off the mark,失准,cedict
to be the same age,同年,cedict
the right to be elected,被选举权,cedict
to be off the beat,走板,cedict
to be the last resort,不得已而为之,cedict
to be precisely the same,如出一辙,cedict
to be the same,撞车,cedict
to be around the corner,将至,cedict
to be the sole survivor,独生,cedict
to be the reigning emperor,坐龙庭,cedict
to be the chef,主厨,cedict
to be the acknowledged leader,执牛耳,cedict
to be the starting pitcher,先发,cedict
to be a second so-and-so,再生,cedict
to be of benefit to,惠及,cedict
the word on the street,坊间传言,cedict
to be a proponent of,倡导,cedict
the sermon on the mount,山中圣训,cedict
to have the right to,有权,cedict
the many or the few,众寡,cedict
to have the audacity to,胆敢,cedict
to be a benefit to,裨益,cedict
to be in charge of,主抓,cedict
the more the better,多多益善,cedict
to be in command of,统辖,cedict
to be in favor of,支持,cedict
the new replaces the old,新陈代谢,cedict
can be said to be,堪称,cedict
the sun over the sea,海日,cedict
the way the wind blows,风头,cedict
the region between the kidneys,命门,cedict
the region near the line,沿线,cedict
the region around the river,沿江,cedict
the less complications the better,多一事不如少一事,cedict
the sooner the better,趁早,cedict
the fish enter the trap,鱼丽,cedict
the boot hits the floor,靴子落地,cedict
the punishment fits the crime,罪有应得,cedict
the pros outweigh the cons,瑕不掩瑜,cedict
cannot be said to be,无所谓,cedict
to take the measure of,打量,cedict
to think of the past,缅怀,cedict
to take the shape of,具体到,cedict
to take the liberty of,不揣冒昧,cedict
to be in a rush,猴急,cedict
to be in a hurry,赶时间,cedict
to follow the example of,效法,cedict
to be in a tangle,纠缠,cedict
to be in a predicament,前不着村，后不着店,cedict
to be in a daze,愣神儿,cedict
to be in a coma,昏迷,cedict
to win the support of,收揽,cedict
to play the role of,充当,cedict
to follow the trail of,追蹑,cedict
to win the trust of,取信,cedict
to the left of,左边,cedict
to the side of,一旁,cedict
the back of a chair,椅背,cedict
to leave the confines of,脱出,cedict
to draw the outline of,勾勒,cedict
to test the taste of,咂摸,cedict
to the north of,以北,cedict
to the south of,以南,cedict
to ban the sale of,禁售,cedict
to bear the weight of,支承,cedict
to the west of,以西,cedict
to the east of,以东,cedict
to confirm the truth of,证明,cedict
to supervise the manufacture of,监制,cedict
the law of a state,王法,cedict
to assign  the task of,责成,cedict
to infringe the rights of,侵权,cedict
to spoil the beauty of,毁容,cedict
to cherish the memory of,怀念,cedict
to sing the praises of,捧场,cedict
to boost the morale of,助威,cedict
to the satisfaction of everyone,大快人心,cedict
to grasp the meaning of,弄懂,cedict
to forbid the eating of,禁食,cedict
the course of a race,赛程,cedict
the start of a race,起跑,cedict
the tone of a school,校风,cedict
the life of a pasha,齐人之福,cedict
the eye of a needle,针鼻,cedict
the top of a building,顶层,cedict
the surface of a wall,墙面,cedict
the edge of a bed,床沿,cedict
the scene of a fire,火场,cedict
the sound of a bell,钟声,cedict
the date of a meeting,会期,cedict
the mouth of a river,河口,cedict
the fire of a stove,炉火,cedict
the content of a conversation,一席话,cedict
the strokes of a character,字画,cedict
the crop of a bird,嗉子,cedict
the edge of a knife,刀口,cedict
the kitchen of a restaurant,内场,cedict
the outcome of a battle,胜负,cedict
the crying of a baby,呱呱,cedict
the mid-slope of a mountain,半山腰,cedict
the sides of a ship,船舷,cedict
a slip of the tongue,口误,cedict
the frame of a building,屋架,cedict
the sheath of a pen,笔套,cedict
a snap of the fingers,拈指,cedict
the sleeve of a garment,衣袖,cedict
the beam of a steelyard,秤杆,cedict
the duration of a conference,会期,cedict
the umbilicus of a melon,瓜脐,cedict
to  find the time to,抽时间,cedict
to go to the office,上班,cedict
to go to the capital,诣阙,cedict
to go to the kitchen,下厨,cedict
to go to the countryside,下乡,cedict
to go  to the moon,登月,cedict
to go to the toilet,出恭,cedict
to get to the top,登顶,cedict
to go to the bathroom,上一号,cedict
to go to the dogs,落水,cedict
to go to the mountains,上山,cedict
to take to the road,就道,cedict
to give the eye to,眉眼传情,cedict
to come to the surface,表面化,cedict
to come to the rescue,接应,cedict
to give to the needy,赒恤,cedict
to give to the departed,追赠,cedict
not in the mood to,无心,cedict
direct and to the point,干脆,cedict
brief and to the point,简明扼要,cedict
to keep to the side,靠边,cedict
to put to the test,考验,cedict
to keep to the subject,切题,cedict
to announce to the world,公诸于世,cedict
to put to the torch,付之一炬,cedict
to talk to the king,启奏,cedict
to keep to the edge,溜边,cedict
in the course of time,一来二去,cedict
to return to the past,复旧,cedict
to add to the fun,助兴,cedict
to fall to the ground,倒地,cedict
to appeal to the public,诉诸公论,cedict
to feed to the full,填饱,cedict
to respond to the market,应市,cedict
to return to the capital,回京,cedict
to rise to the occasion,应运而生,cedict
to speak to the audience,口播,cedict
to send  to the press,付梓,cedict
to rise to the surface,浮上,cedict
to fight to the death,死战,cedict
to return to the topic,言归正传,cedict
to drop to the ground,卧倒,cedict
to rise to the sky,升空,cedict
to return  to the sender,回退,cedict
to present to the emperor,引见,cedict
to adapt to the situation,见景生情,cedict
to raze to the ground,夷为平地,cedict
to dance to the beat,踩点,cedict
to fly to the moon,奔月,cedict
to stick to the topic,扣题,cedict
to commit to the flames,付之一炬,cedict
to connect to the internet,上网,cedict
to fill to the brim,加满,cedict
to probe to the bottom,穷尽,cedict
to rush to the rescue,驰援,cedict
to succeed to the throne,即位,cedict
to migrate to the cloud,上云,cedict
to strip to the waist,袒膊,cedict
in the fullness of time,久而久之,cedict
to aspire to the throne,问鼎,cedict
to ascend to the throne,登大宝,cedict
to surrender to the authorities,投案,cedict
a word to the wise,闻一知十,cedict
in front of the door,门前,cedict
in the dead of night,夜深人静,cedict
in the name of,代表,cedict
in advance of the field,头里,cedict
in the light of,比照,cedict
in command of the army,挥师,cedict
in the prime of youth,妙龄,cedict
in the style of annals,编年体,cedict
in the presence of,当着,cedict
in the capacity of,身为,cedict
in the wake of,随着,cedict
in the midst of,之中,cedict
in the years of,年间,cedict
to be a good-for-nothing,不是东西,cedict
to work in the fields,上山下乡,cedict
the gap couldn't be bigger,不啻天渊,cedict
a person in the know,个中人,cedict
not to have the guts,没种,cedict
to look in the mirror,照镜子,cedict
to be a substitute for,充作,cedict
to stab in the back,暗害,cedict
to be of one mind,一条心,cedict
to be of one voice,众口同声,cedict
to live in the moment,今朝有酒今朝醉,cedict
to weigh in the hand,掂量,cedict
to number in the thousands,以亿计,cedict
to appear in the news,上报,cedict
to remain in the hospital,留院,cedict
to stand in the corner,面壁思过,cedict
to poke in the eye,插眼,cedict
to appear in the flesh,现身,cedict
to be out of power,在野,cedict
to shoot in the air,无的放矢,cedict
to serve in the army,从军,cedict
to bask in the light,沾光,cedict
to hang in the air,悬空,cedict
to dance in the air,飘舞,cedict
to circle in the air,飞翔,cedict
to join in the fun,凑热闹,cedict
to dry in the sun,晒干,cedict
to float in the air,空中飘浮,cedict
to wait in the wings,候场,cedict
to swirl in the air,纷飞,cedict
to rustle in the air,萧瑟,cedict
to publish in the newspapers,登报,cedict
to be out of  office,在野,cedict
to dry in the shade,阴干,cedict
to float in the wind,飘举,cedict
to dance in the breeze,飞舞,cedict
to flutter in the wind,迎风招展,cedict
to shrink in the wash,抽水,cedict
to faint in the bathroom,晕池,cedict
to nip in the bud,杜渐防萌,cedict
to be out of credit,停机,cedict
to be out of stock,断档,cedict
to be a tax on,劳神,cedict
to be out of luck,倒霉,cedict
to be out of kilter,失准,cedict
to be out of practice,荒疏,cedict
to be a burden on,拖累,cedict
to be on a sabbatical,赋闲,cedict
a walk in the park,轻车熟路,cedict
to be referred to as,唤做,cedict
the females in a family,内眷,cedict
a job in the bureaucracy,官职,cedict
the food in a dish,盘飧,cedict
to be of use,顶用,cedict
a nip in the air,寒意,cedict
a shot in the dark,无的放矢,cedict
a pain in the neck,讨嫌,cedict
a drop in the ocean,九牛一毛,cedict
a positive in the negative,不幸之幸,cedict
a beauty in the bud,美人坯子,cedict
the truth in a flash,顿悟,cedict
a straw in the wind,一叶知秋,cedict
a crick in the neck,失枕,cedict
a nook in the mountains,山阿,cedict
house of woman's husband-to-be,人家,cedict
to be very fond of,钟爱,cedict
to be of vital interest,利害攸关,cedict
to be sure of success,胜算,cedict
to be beyond control of,由不得,cedict
to be certain of victory,必胜,cedict
to be full of zeal,来劲,cedict
to be full of remorse,自怨自艾,cedict
to be full of,充斥,cedict
to be full of admiration,激赏,cedict
to be full of tricks,见招拆招,cedict
to be full of vigor,发扬踔厉,cedict
to be weary of war,厌战,cedict
to be free of worries,安枕,cedict
to be assured of success,左券在握,cedict
to be short of,短欠,cedict
to be fully aware of,明知,cedict
to be at a loss,大惑不解,cedict
to be taken advantage of,任人宰割,cedict
to be of importance,当事,cedict
to be born of,出身,cedict
to be capable of,能够,cedict
to be afraid of heights,恐高,cedict
to be afraid of strangers,怕生,cedict
to be of burrowing habit,穴居,cedict
to be proud of oneself,自高,cedict
to be fond of,喜爱,cedict
to be jealous of,妒嫉,cedict
to be cognizant of,认知,cedict
to be enamored of,恋慕,cedict
to be informed of,知悉,cedict
to be scared of dying,怕死,cedict
to be suspected of,涉嫌,cedict
to be suspected of bribery,涉贿,cedict
to be tired of living,活得不耐烦,cedict
to be worthy of,不愧,cedict
to be at a disadvantage,占下风,cedict
to be at a standstill,踏步不前,cedict
to have the final say,说了算,cedict
to be just about to,刚一,cedict
to be certain to get,稳获,cedict
to be up to mischief,使坏,cedict
to be about to die,将死,cedict
to be about to arrive,将至,cedict
to be about to materialize,有眉目,cedict
to be about to,待要,cedict
to have attained the way,有道,cedict
to be first to start,领头,cedict
to have the same name,重名,cedict
to have the right taste,是味儿,cedict
to be a yes-man,唯唯诺诺,cedict
to be a go-getter,进取,cedict
